INJECTION SCHEME : 100_150ns_648Pb_552_619_75_36bpi_20inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		100,		4,		0,	1
2,	1,	ring_2,	1,		100,		4,		0,	1
3,	2,	ring_1,	611,		100,		4,		450,	8
4,	2,	ring_2,	611,		100,		4,		450,	8
5,	3,	ring_1,	2311,		100,		4,		450,	9
6,	3,	ring_2,	2311,		100,		4,		450,	9
7,	4,	ring_1,	4191,		100,		4,		450,	9
8,	4,	ring_2,	4191,		100,		4,		450,	9
9,	5,	ring_2,	6071,		100,		4,		450,	9
10,	5,	ring_1,	6081,		100,		4,		450,	9
11,	6,	ring_1,	7971,		100,		4,		450,	6
12,	6,	ring_2,	7971,		100,		4,		450,	6
13,	7,	ring_1,	9341,		100,		4,		450,	9
14,	7,	ring_2,	9341,		100,		4,		450,	9
15,	8,	ring_1,	11221,		100,		4,		450,	9
16,	8,	ring_2,	11221,		100,		4,		450,	9
17,	9,	ring_1,	13101,		100,		4,		450,	9
18,	9,	ring_2,	13101,		100,		4,		450,	9
19,	10,	ring_1,	14981,		100,		4,		450,	9
20,	10,	ring_2,	14991,		100,		4,		450,	9
21,	11,	ring_2,	16881,		100,		4,		450,	6
22,	11,	ring_1,	16911,		100,		4,		450,	6
23,	12,	ring_1,	18251,		100,		4,		450,	9
24,	12,	ring_2,	18251,		100,		4,		450,	9
25,	13,	ring_1,	20131,		100,		4,		450,	9
26,	13,	ring_2,	20131,		100,		4,		450,	9
27,	14,	ring_1,	22011,		100,		4,		450,	9
28,	14,	ring_2,	22011,		100,		4,		450,	9
29,	15,	ring_1,	23891,		100,		4,		450,	9
30,	15,	ring_2,	23891,		100,		4,		450,	9
31,	16,	ring_1,	25821,		100,		4,		450,	6
32,	16,	ring_2,	25821,		100,		4,		450,	6
33,	17,	ring_1,	27161,		100,		4,		450,	9
34,	17,	ring_2,	27161,		100,		4,		450,	9
35,	18,	ring_1,	29041,		100,		4,		450,	9
36,	18,	ring_2,	29041,		100,		4,		450,	9
37,	19,	ring_1,	30921,		100,		4,		450,	9
38,	19,	ring_2,	30921,		100,		4,		450,	9
39,	20,	ring_1,	32801,		100,		4,		450,	9
40,	20,	ring_2,	32801,		100,		4,		450,	9
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/648
Tot number of B2 bunches(probe/Nominal) : 0/648

Tot number of B1 injections : 20
Tot number of B2 injections : 20

Collisions at IP1&5: 552
B1-empty at IP1&5: 96
B2-empty at IP1&5: 96
Empty-empty at IP1&5: 2820

Collisions at IP2: 619
B1-empty at IP2: 29
B2-empty at IP2: 29
Empty-empty at IP2: 2887

Collisions at IP8: 75
B1-empty at IP8: 573
B2-empty at IP8: 573
Empty-empty at IP8: 2343

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
15161,14991,-63.64
15201,15031,-63.64
15241,15071,-63.64
15281,15111,-63.64
15341,15171,-63.64
15381,15211,-63.64
15421,15251,-63.64
15461,15291,-63.64
15521,15351,-63.64
15561,15391,-63.64
15601,15431,-63.64
15641,15471,-63.64
15701,15531,-63.64
15741,15571,-63.64
15781,15611,-63.64
15821,15651,-63.64
15881,15711,-63.64
15921,15751,-63.64
15961,15791,-63.64
16001,15831,-63.64
16061,15891,-63.64
16101,15931,-63.64
16141,15971,-63.64
16181,16011,-63.64
16241,16071,-63.64
16281,16111,-63.64
16321,16151,-63.64
16361,16191,-63.64
16421,16251,-63.64
16461,16291,-63.64
16501,16331,-63.64
16541,16371,-63.64
17091,16921,-63.64
17131,16961,-63.64
17171,17001,-63.64
17271,17101,-63.64
17311,17141,-63.64
17351,17181,-63.64
17451,17281,-63.64
17491,17321,-63.64
17531,17361,-63.64
17631,17461,-63.64
17671,17501,-63.64
17711,17541,-63.64
17811,17641,-63.64
17851,17681,-63.64
17891,17721,-63.64
6261,6111,-56.15
6301,6151,-56.15
6341,6191,-56.15
6441,6291,-56.15
6481,6331,-56.15
6521,6371,-56.15
6621,6471,-56.15
6661,6511,-56.15
6701,6551,-56.15
6801,6651,-56.15
6841,6691,-56.15
6881,6731,-56.15
6981,6831,-56.15
7021,6871,-56.15
7061,6911,-56.15
7161,7011,-56.15
7201,7051,-56.15
7241,7091,-56.15
7341,7191,-56.15
7381,7231,-56.15
7421,7271,-56.15
7521,7371,-56.15
7561,7411,-56.15
7601,7451,-56.15
17031,16881,-56.15
17211,17061,-56.15
17391,17241,-56.15
17571,17421,-56.15
17751,17601,-56.15
17931,17781,-56.15
791,651,-52.41
831,691,-52.41
871,731,-52.41
971,831,-52.41
1011,871,-52.41
1051,911,-52.41
1151,1011,-52.41
1191,1051,-52.41
1231,1091,-52.41
1331,1191,-52.41
1371,1231,-52.41
1411,1271,-52.41
1511,1371,-52.41
1551,1411,-52.41
1591,1451,-52.41
1691,1551,-52.41
1731,1591,-52.41
1771,1631,-52.41
1871,1731,-52.41
1911,1771,-52.41
1951,1811,-52.41
2491,2351,-52.41
2531,2391,-52.41
2571,2431,-52.41
2671,2531,-52.41
2711,2571,-52.41
2751,2611,-52.41
2851,2711,-52.41
2891,2751,-52.41
2931,2791,-52.41
3031,2891,-52.41
3071,2931,-52.41
3111,2971,-52.41
3211,3071,-52.41
3251,3111,-52.41
3291,3151,-52.41
3391,3251,-52.41
3431,3291,-52.41
3471,3331,-52.41
3571,3431,-52.41
3611,3471,-52.41
3651,3511,-52.41
3751,3611,-52.41
3791,3651,-52.41
3831,3691,-52.41
4371,4231,-52.41
4411,4271,-52.41
4451,4311,-52.41
4551,4411,-52.41
4591,4451,-52.41
4631,4491,-52.41
4731,4591,-52.41
4771,4631,-52.41
4811,4671,-52.41
4911,4771,-52.41
4951,4811,-52.41
4991,4851,-52.41
5091,4951,-52.41
5131,4991,-52.41
5171,5031,-52.41
5271,5131,-52.41
5311,5171,-52.41
5351,5211,-52.41
5451,5311,-52.41
5491,5351,-52.41
5531,5391,-52.41
5631,5491,-52.41
5671,5531,-52.41
5711,5571,-52.41
8151,8011,-52.41
8191,8051,-52.41
8231,8091,-52.41
8331,8191,-52.41
8371,8231,-52.41
8411,8271,-52.41
8511,8371,-52.41
8551,8411,-52.41
8591,8451,-52.41
8691,8551,-52.41
8731,8591,-52.41
8771,8631,-52.41
8871,8731,-52.41
8911,8771,-52.41
8951,8811,-52.41
9521,9381,-52.41
9561,9421,-52.41
9601,9461,-52.41
9701,9561,-52.41
9741,9601,-52.41
9781,9641,-52.41
9881,9741,-52.41
9921,9781,-52.41
9961,9821,-52.41
10061,9921,-52.41
10101,9961,-52.41
10141,10001,-52.41
10241,10101,-52.41
10281,10141,-52.41
10321,10181,-52.41
10421,10281,-52.41
10461,10321,-52.41
10501,10361,-52.41
10601,10461,-52.41
10641,10501,-52.41
10681,10541,-52.41
10781,10641,-52.41
10821,10681,-52.41
10861,10721,-52.41
11401,11261,-52.41
11441,11301,-52.41
11481,11341,-52.41
11581,11441,-52.41
11621,11481,-52.41
11661,11521,-52.41
11761,11621,-52.41
11801,11661,-52.41
11841,11701,-52.41
11941,11801,-52.41
11981,11841,-52.41
12021,11881,-52.41
12121,11981,-52.41
12161,12021,-52.41
12201,12061,-52.41
12301,12161,-52.41
12341,12201,-52.41
12381,12241,-52.41
12481,12341,-52.41
12521,12381,-52.41
12561,12421,-52.41
12661,12521,-52.41
12701,12561,-52.41
12741,12601,-52.41
13281,13141,-52.41
13321,13181,-52.41
13361,13221,-52.41
13461,13321,-52.41
13501,13361,-52.41
13541,13401,-52.41
13641,13501,-52.41
13681,13541,-52.41
13721,13581,-52.41
13821,13681,-52.41
13861,13721,-52.41
13901,13761,-52.41
14001,13861,-52.41
14041,13901,-52.41
14081,13941,-52.41
14181,14041,-52.41
14221,14081,-52.41
14261,14121,-52.41
14361,14221,-52.41
14401,14261,-52.41
14441,14301,-52.41
14541,14401,-52.41
14581,14441,-52.41
14621,14481,-52.41
18431,18291,-52.41
18471,18331,-52.41
18511,18371,-52.41
18611,18471,-52.41
18651,18511,-52.41
18691,18551,-52.41
18791,18651,-52.41
18831,18691,-52.41
18871,18731,-52.41
18971,18831,-52.41
19011,18871,-52.41
19051,18911,-52.41
19151,19011,-52.41
19191,19051,-52.41
19231,19091,-52.41
19331,19191,-52.41
19371,19231,-52.41
19411,19271,-52.41
19511,19371,-52.41
19551,19411,-52.41
19591,19451,-52.41
19691,19551,-52.41
19731,19591,-52.41
19771,19631,-52.41
20311,20171,-52.41
20351,20211,-52.41
20391,20251,-52.41
20491,20351,-52.41
20531,20391,-52.41
20571,20431,-52.41
20671,20531,-52.41
20711,20571,-52.41
20751,20611,-52.41
20851,20711,-52.41
20891,20751,-52.41
20931,20791,-52.41
21031,20891,-52.41
21071,20931,-52.41
21111,20971,-52.41
21211,21071,-52.41
21251,21111,-52.41
21291,21151,-52.41
21391,21251,-52.41
21431,21291,-52.41
21471,21331,-52.41
21571,21431,-52.41
21611,21471,-52.41
21651,21511,-52.41
22191,22051,-52.41
22231,22091,-52.41
22271,22131,-52.41
22371,22231,-52.41
22411,22271,-52.41
22451,22311,-52.41
22551,22411,-52.41
22591,22451,-52.41
22631,22491,-52.41
22731,22591,-52.41
22771,22631,-52.41
22811,22671,-52.41
22911,22771,-52.41
22951,22811,-52.41
22991,22851,-52.41
23091,22951,-52.41
23131,22991,-52.41
23171,23031,-52.41
23271,23131,-52.41
23311,23171,-52.41
23351,23211,-52.41
23451,23311,-52.41
23491,23351,-52.41
23531,23391,-52.41
24071,23931,-52.41
24111,23971,-52.41
24151,24011,-52.41
24251,24111,-52.41
24291,24151,-52.41
24331,24191,-52.41
24431,24291,-52.41
24471,24331,-52.41
24511,24371,-52.41
24611,24471,-52.41
24651,24511,-52.41
24691,24551,-52.41
24791,24651,-52.41
24831,24691,-52.41
24871,24731,-52.41
24971,24831,-52.41
25011,24871,-52.41
25051,24911,-52.41
25151,25011,-52.41
25191,25051,-52.41
25231,25091,-52.41
25331,25191,-52.41
25371,25231,-52.41
25411,25271,-52.41
26001,25861,-52.41
26041,25901,-52.41
26081,25941,-52.41
26181,26041,-52.41
26221,26081,-52.41
26261,26121,-52.41
26361,26221,-52.41
26401,26261,-52.41
26441,26301,-52.41
26541,26401,-52.41
26581,26441,-52.41
26621,26481,-52.41
26721,26581,-52.41
26761,26621,-52.41
26801,26661,-52.41
27341,27201,-52.41
27381,27241,-52.41
27421,27281,-52.41
27521,27381,-52.41
27561,27421,-52.41
27601,27461,-52.41
27701,27561,-52.41
27741,27601,-52.41
27781,27641,-52.41
27881,27741,-52.41
27921,27781,-52.41
27961,27821,-52.41
28061,27921,-52.41
